UTF-8
BUKRS,KOSTL,KTEXT,PurchasingUnit
"0020","8005499","Oncology Med Info",""
"0020","8005501","IMMS Medical Informa",""
"0020","8005502","Virology Med Info",""
"0020","8005532","Drug Prod-Proc&Pack",""
"0034","8005559","Medical DAH & Admin",""
"0034","8005560","Virology DAS",""
"0034","8005561","CV MSMS",""
"0034","8005562","VIROLOGY MSMS",""
"0052","8005581","GRS-Sweden",""
"0405","8005582","GRS-Denmark",""
"0101","8005583","GRS-Finland",""
"0119","8005584","GRS-Norway",""
"0115","8005595","GRS-FSA",""
"0115","8005596","GRS UPSA France",""
"0035","8005603","GRS-Canada",""
"0020","8005628","Global Reg Bus Cap",""
"0074","8005635","GRS-Switzerland",""
"0074","8005638","R&D OTH EXP Med",""
"0020","8005648","Sample Management",""
"0020","8005649","CV-Met Biomarker Tea",""
"0020","8005650","Oncology Biomarker T",""
"0020","8005651","Neuroscience Biomark",""
"0020","8005652","ClinicalTrans Tch&Op",""
"0020","8005674","Phase IV-Hepatitis",""
"0141","8005677","GRS-Spain",""
"0044","8005681","GQM-Germany",""
"0526","8005701","R&D MEDICAL LOCAL",""
"0434","8005751","Japan R&D Ops",""
"0434","8005763","Elotuzumab",""
"0434","8005765","Clinical Science",""
"0141","8005768","GQM-Spain",""
"0035","8005770","Canada PRI Grants",""
"0057","8005773","GRS-Greece",""
"0405","8005782","R&D Denmark",""
"0020","8005784","FDT-Medarex",""
"0126","8005804","PHARMACOVIGILANCE",""
"0434","8005823","Pharmacovigilance",""
"0119","8005848","R&D Norway",""
"0035","8005851","PG R&D (RGS002)",""
"0020","8005854","DCCR-Cap Software",""
"0101","8005857","MEDICAL SCIENCE FINL",""
"0020","8005867","R&D Operations-EXEC",""
"0020","8005869","R&D Resource Manage",""
"0020","8005870","Strategy & Analytic",""
"0405","8005882","MEDICAL SCIENCE DEN",""
"0511","8006873","GRS-Mexico",""
"0511","8006874","Medical Direction",""
"0511","8006889","Clinica Research PRI",""
"0511","8006890","R&D-Convention",""
"0122","8006893","Clinical Res-Gdo",""
"0122","8006895","Regul Comp-Clinical",""
"0122","8006896","Almox.Mat.Pesq Clin",""
"0122","8006901","Dpto Medico Cientif",""
"0020","8006907","IO Value from Data",""
"0020","8006908","BIO Amo",""
"0059","8006911","Global Med Affairs",""
"0059","8006912","Global Med Affairs",""
"0020","8006927","PPM-Project Analyst",""
"0122","8006953","GQRC-CT&S Brazil",""
"0034","8006960","Oncology DAS",""
"0020","8006973","RDO IT Sup & Maint",""
"0034","8007008","Compliance & HTA",""
"0020","8007044","TRACE Amo",""
"0020","8007061","GBS Stat Prog & Tech",""
"0062","8007062","MSM ORENCIA",""
"0062","8007063","MSM ENTECAVIR",""
"0062","8007064","DAS ORENCIA",""
"0062","8007065","MSM ONCOLOGY",""
"0062","8007073","ANAGNI MT DRUG PROD",""
"0062","8007074","AN MT ANALYTICAL DEV",""
"0405","8007076","Medical Info Regulat",""
"0020","8007088","Domantis",""
"0020","8007101","Med Info Tech",""
"0020","8007104","US Drug Info",""
"0020","8007107","SR VP-Med Affairs",""
"0020","8007111","Oncology Health Out",""
"0020","8007112","Virology Health Outc",""
"0020","8007114","Misc Indirect Grant",""
"0068","8007122","Medical-Local",""
"0034","8007132","Pain/Immunology MSMs",""
"0034","8007133","Oncology MSM",""
"0020","8007135","Taconic (Artemis)",""
"0055","8007175","Med.Affairs Division",""
"0020","8007201","TR &D",""
"0020","8007202","CP&P",""
"0020","8007203","Med. Sci. Liaison, M",""
"0126","8007204","Quality Insurance",""
"0059","8007221","Med SA Sprycel",""
"0059","8007222","Med SA HIV",""
"0059","8007223","Med Onglyza",""
"0059","8007224","Med SA Apixaban",""
"0059","8007226","Med SA Orencia",""
"0059","8007227","Med SA Clopidogrel",""
"0020","8007230","Flow Cytometry",""
"0122","8007246","GRS-Brazil",""
"0061","8007256","EUROPEAN MARKETS HQ",""
"0122","8007265","Clinical Grants-PRI",""
"0020","8007309","GPV&E INDIA",""
"0511","8007311","GQM-Mexico",""
"0101","8007315","Pharmacovigilance Sc",""
"0405","8007317","Pharmacovigilance Sc",""
"0034","8007318","GR&A",""
"0061","8007323","RCO INTL EXEC-BLD",""
"0098","8007386","Medical Support",""
"0054","8007389","MSM",""
"0020","8007402","IMMS Medical Portfol",""
"0020","8007403","GQRC COMPUTER SYSTEM",""
"0020","8007404","GQRC-ANALYTICAL",""
"0062","8007411","Distributor Markets",""
"0052","8007434","R&D Europe",""
"0020","8007439","GRS Intercon",""
"0034","8007446","Medical Information",""
"0044","8007447","Medical Informat.DE",""
"0434","8007451","GRS-Japan",""
"0434","8007452","8007452-Japan GQRC",""
"0434","8007454","GVP-GPSP",""
"0434","8007455","R&D Executive",""
"0434","8007457","CLINICAL OPE",""
"0434","8007458","J-DMCP",""
"0434","8007459","CTLA4IG INDIRECT",""
"0434","8007461","RMP Design",""
"0434","8007462","HCV NS5A Global",""
"0434","8007464","Orencia Global",""
"0434","8007466","ERBITUX INDIRECT",""
"0434","8007467","11Beta HSD1",""
"0434","8007469","Medical Information",""
"0434","8007470","MED.SCI. LIAISON MAD",""
"0434","8007471","Medical Strategy",""
"0434","8007472","PRI IMPACT",""
"0434","8007474","APIXABAN INDIRECT",""
"0434","8007475","Clinical Research",""
"0115","8007494","FRAIS D'ENREGISTREME",""
"0115","8007495","OPS MED INFO DOC Fr",""
"0020","8007498","Innate Pharma JA",""
"0020","8007503","SPS",""
"0020","8007504","SPS-HPW",""
"0020","8007505","SPS-WFD",""
"0020","8007506","MS-LVL",""
"0020","8007507","MS-HPW",""
"0020","8007508","NMR",""
"0020","8007509","NMR-WFD",""
"0020","8007510","BAS IMB",""
"0020","8007511","BIOTRANS-HPW",""
"0020","8007512","BIOTRANS-WFD",""
"0020","8007513","PHARMACEUTICS-WFD",""
"0034","8007529","CMC Documentation",""
"0034","8007530","GQRC GMP UK",""
"0035","8007576","Reg Clinical Ops Sit",""
"0020","8007578","CLIN GRANT FREIGHT",""
"0020","8007587","India-GBS 0020",""
"0020","8007588","India-GDO",""
"0074","8007602","PHARMACOVIGILANCE (G",""
"0052","8007606","Outcomes Research",""
"0020","8007617","Global Reg Strt Plan",""
"0020","8007621","Biocon-PD",""
"0115","8007628","GPV&E QP R&D FR/EUR",""
"0020","8007631","BAS & Selective Inte",""
"0434","8007632","Safely Rep/PV-JapRD",""
"0034","8007643","ABD-Moreton",""
"0034","8007644","GQRC-GMP-Morton",""
"0020","8007647","Pfizer-Apixaban",""
"0020","8007649","HQ CSR&O (USD)",""
"0020","8007651","GDM-HPW",""
"0122","8007653","R&D-ICBC Backcharge",""
"0122","8007654","GQM-Brazil",""
"0020","8007655","Biocon BMS-DD",""
"0020","8007656","Biocon BMS-PCO",""
"0059","8007669"," Med SA IPILIMUMAB",""
"0059","8007670","Med SA Brivanib",""
"0105","8007675","BExM R&D Projects",""
"0035","8007676","Med Aff, Viro/Immun",""
"0035","8007677","Med Aff-CV/Met",""
"0035","8007678","Med. Aff. Oncology",""
"0020","8007682","BLIS MAINTENANCE",""
"0020","8007695","ONO-ORENCIA JPN",""
"0020","8007704","PhaseIVAZalliance",""
"0020","8007705","ORAZalliance",""
"0020","8007706","Ipilimumab-Med St",""
"0115","8007721","INST.UPSA DOULEUR",""
"0062","8007725","DAS Entecavir",""
"0020","8007742","Promotional Complia",""
"0020","8007750","HEOR",""
"0034","8007751","GQM-UK",""
"0590","8007759","Strategic Operations",""
"0020","8007761","Nulojix Home Office",""
"0020","8007771","U de Montreal",""
"0020","8007783","BAS Biomarkers",""
"0020","8007785","BIOCON BMS-VS",""
"0082","8007792","REGULATORY RO PHARM",""
"0434","8007806","APIXABAN GLOBAL",""
"0434","8007807","DASATINIB GLOBAL",""
"0034","8007808","EEIG Regulatory cos",""
"0468","8007810","Reg. Fees Poland",""
"0141","8007812","Registros-Med Spain",""
"0059","8007813","Regulatory",""
"0053","8007814","P1/ R&D GOV REGISTR",""
"0061","8007815","REG CLINICAL OPERAT",""
"0074","8007816","R&D Regulatory loca",""
"0119","8007818","Regulatory Fess",""
"0101","8007819","Regulatory Fees",""
"0405","8007820","Regulatory Fess",""
"0052","8007821","Regulatory Dpt Swede",""
"0055","8007822","Regional Clinical O",""
"0434","8007824","NS5A",""
"0511","8007832","Regulatory",""
"0057","8007834","REG/TORY REGIST FEE",""
"0115","8007839","MSM Maghreb",""
"0054","8007843","EEIG Regulatory cos",""
"0020","8007850","Ipilimumab Phase IV",""
"0020","8007851","Ixempra Phase IV",""
"0020","8007852","Sprycel Phase IV",""
"0020","8007860","Med Affairs/MSL AZ A",""
"0020","8007866","Phase IV-Efaviren",""
"0020","8007867","Virology CSR&O",""
"0020","8007881","Genoway",""
"0034","8007889","CV DAS",""
"0034","8007890","Pain/Immunology DAS",""
"0020","8007900","Roche/Gen-Yervoy",""
"0547","8007901","Kosan Bioscience",""
"0434","8007902","HCV NS3",""
"0412","8007939","R&D Biotis",""
"0434","8007946","BRIVANIB HCC",""
"0121","8007960","SA Regulatory",""
"0089","8007974","China GDO Exec",""
"0150","8007999","PRI Russia",""
"0045","8008015","RESEARCH AND DEVELOP",""
"0020","8008017","Abbott",""
"0020","8008033","Belatacept Phase IV",""
"0050","8008063","RCO South Africa",""
"0045","8008077","MSM/DAS EXPENSES",""
"0020","8008084","ZymoGenetics",""
"0124","8008093","Reg.fees-Distrib.Mk",""
"0020","8008162","Celldex",""
"0020","8008172","R&D Acquisitions",""
"0035","8008173","Med Aff NS/Viro/Imm",""
"0074","8008174","MSM / DAS",""
"0124","8008176","Regulatory CZ",""
"0034","8008177","CNS DAS Phama",""
"0098","8008183","MSM Austria",""
"0101","8008186","RCO R&D Grants Fin",""
"0068","8008204","Scientifc Advis. PT",""
"0526","8008205","MSM Onglyza Poland",""
"0044","8008206","Regulatory Germany",""
"0061","8008210","G&ALegal CCE-Belgium",""
"0454","8008215","Manati R&D",""
"0115","8008223","OPERATIONS MEDICALES",""
"0434","8008229","PegIFN lambda",""
"0434","8008230","PegIFN lambda Global",""
"0020","8008238","Oncology MSL's",""
"0020","8008239","MSL's-Erbitux",""
"0020","8008240","Virology MSL",""
"0020","8008242","Immunoscience MSLs",""
"0020","8008243","Belatacept MSLs",""
"0020","8008244","Dapa PMT/Phase IV",""
"0020","8008245","Field Med Ops (HO)",""
"0020","8008246","Med . Strat.-Ixemp",""
"0020","8008251","Apixaban PMT/Phase I",""
"0020","8008253","Apixaban MSMs (PF co",""
"0020","8008257","MSL's-Ixempra",""
"0020","8008258","MSL's-Sprycel",""
"0020","8008259","Med. Strat.-Spryce",""
"0052","8008274","RegulDirNCEM",""
"0124","8008275","SUKL charges-Dist.M.",""
"0050","8008278","MSM",""
"0044","8008285","DAS CV-MET LOCAL",""
"0044","8008286","MSM Apixaban",""
"0551","8008291","BDC-Research Mgmt.",""
"0551","8008292","Biology",""
"0551","8008294","Chemistry",""
"0551","8008295","BDC-Medicinal Chem",""
"0551","8008296","BDC-Animal Biology",""
"0550","8008299","Medarex-Preclinica",""
"0550","8008301","Medarex-Clinical O",""
"0551","8008307","Medarex-Research A",""
"0550","8008308","Medarex-Developmen",""
"0551","8008309","BDC-Scientific Com",""
"0550","8008321","R&D Finance-Medare",""
"0550","8008326","Corp-Insurance",""
"0020","8008335","ADT-HPW",""
"0111","8008337","ITO RESEARCH DEVELOP",""
"0044","8008339","DAS NEUROSC.LOCAL",""
"0044","8008341","DAS ONCOLOGY LOCAL",""
"0044","8008342","MSMs Neuroscience",""
"0044","8008343","DAS VIROLOGY LOCAL",""
"0044","8008344","MSMs Virology",""
"0044","8008345","DAS IMMUNOLOGY LOCAL",""
"0044","8008346","MSMs Hepatities",""
"0044","8008347","MSMs Oncology",""
"0044","8008348","MSMs Diabetes",""
"0044","8008349","MSM Immunology",""
"0020","8008350","R&D Asset Strategy",""
"0551","8008352","Corp-Insurance-C",""
"0526","8008353","ACE HEOS",""
"0115","8008358","Regulatory FSA",""
"0115","8008359","Regulatory Algeria",""
"0020","8008360","IM Allocation R&D",""
"0020","8008365","AlderBio Holdings",""
"0454","8008366","BIOTIS-MSM & MEDICAL",""
"0434","8008369","Ipilimumab (MDX 010)",""
"0064","8008370","R&D-MSM & MED-BIOTIS",""
"0264","8008373","Sanofi PMT",""
"0057","8008376","Medical local",""
"0057","8008377","Regulatory",""
"0068","8008384","Scient. Adv. Vir. PT",""
"0068","8008385","Scient. Adv. Onc. PT",""
"0526","8008394","MSM Dasatinib",""
"0526","8008397","DAS",""
"0061","8008412","HEOR Benelux/CH",""
"0126","8008413","Scientific Advisors",""
"0124","8008417","Scientific Advisors",""
"0124","8008418","MSM Orencia/Ablilify",""
"0057","8008421","MEDICAL SCI MANAGER",""
"0141","8008423","DAS Eliquis",""
"0141","8008424","DAS Orencia",""
"0141","8008425","DAS Virology",""
"0141","8008426","D.A.S. CNS",""
"0141","8008427","DAS Hematology/IO",""
"0141","8008428","MSM Virology",""
"0141","8008429","MSM's Entecavir",""
"0141","8008430","MSM's CNS",""
"0141","8008431","MSM Hematology/IO",""
"0141","8008432","MSM Eliquis",""
"0141","8008433","MSM Orencia",""
"0141","8008434","Medical Department",""
"0052","8008438","Medical Science Swed",""
"0101","8008439","MEDICAL SCIENCE FINL",""
"0405","8008440","MEDICAL SCIENCE DEN",""
"0119","8008441","MEDICAL SCIENCE NOR",""
"0119","8008443","DAS Norway",""
"0526","8008448","R&D MSM Entecavir",""
"0526","8008449","MSM Abilify",""
"0054","8008454","MSM",""
"0034","8008455","Outcome Research Pha",""
"0115","8008456","Med. CV / Met",""
"0115","8008460","Med. Viro/IS",""
"0115","8008462","Med. Onco",""
"0115","8008465","MED. REG. VIRO",""
"0115","8008467","MED. REG. CNS",""
"0115","8008470","MED PAIN Fr",""
"0115","8008471","R&D ONCOLOGY",""
"0115","8008473","MED CNS Fr",""
"0020","8008481","Regulatory Administ.",""
"0080","8008484","PRI-REG CLINICAL TRI",""
"0406","8008488","R&D GQM HEAD",""
"0538","8008489","Critical Care MedAff",""
"0538","8008490","PRI-R&D Operations",""
"0538","8008491","PRI-Candidate Opti",""
"0538","8008492","RCO-India",""
"0406","8008494","R&D GDO HEAD",""
"0406","8008495","GQM-China",""
"0406","8008496","GQRC-CT&S China",""
"0406","8008497","Clinical Research De",""
"0053","8008498","Disease Area Lead",""
"0089","8008501","R&D-GLOBAL DEVP OFF",""
"0089","8008502","R&D-GDO ETV PH3 CLIN",""
"0020","8008507","RCO AP Exe",""
"0547","8008560","Microtub Stablz Prg",""
"0053","8008563","Onglyza DAS",""
"0020","8008567","Latcan HQ alliance R",""
"0020","8008568","UK alliance R&D",""
"0020","8008569","Canada alliance R&D",""
"0020","8008570","Argentina alliance R",""
"0020","8008571","Mexico alliance R&D",""
"0020","8008572","Australia alliance R",""
"0020","8008573","France alliance R&D",""
"0020","8008574","Germany alliance R&D",""
"0020","8008575","Columbia alliance R&",""
"0020","8008576","Peru alliance R&D",""
"0020","8008577","Venezuela alliance R",""
"0020","8008578","Chile alliance R&D",""
"0020","8008579","Spain alliance R&D",""
"0020","8008580","Sweden alliance R&D",""
"0020","8008581","Ireland alliance R&D",""
"0020","8008582","Puerto Rico alliance",""
"0020","8008583","Greece alliance R&D",""
"0020","8008584","Netherlands alliance",""
"0020","8008585","Italy alliance R&D",""
"0020","8008586","Portugal alliance R&",""
"0020","8008587","Taiwan alliance R&D",""
"0020","8008588","Korea alliance R&D",""
"0020","8008589","Switzerland alliance",""
"0020","8008590","Denmark alliance R&D",""
"0020","8008591","Turkey alliance R&D",""
"0020","8008592","Austria alliance R&D",""
"0020","8008593","Singapore alliance R",""
"0020","8008594","Finland alliance R&D",""
"0020","8008595","Norway alliance R&D",""
"0020","8008596","Russia alliance R&D",""
"0020","8008597","Poland alliance R&D",""
"0020","8008598","Czech alliance R&D",""
"0020","8008601","Hong Kong alliance R",""
"0020","8008602","Hungary alliance R&D",""
"0020","8008603","Japan alliance R&D",""
"0020","8008607","CMO Management",""
"0020","8008609","Romania R&D Med",""
"0020","8008611","DM-Immunoscience",""
"0020","8008612","DM-Neuroscience",""
"0020","8008615","Sanofi PMT (IMPACT)",""
"0020","8008616","PDx Portfolio",""
"0434","8008617","ALD518 Global",""
"0020","8008627","FOT Alliance Medical",""
"0020","8008628","France Alliance Phas",""
"0551","8008633","Research Operations",""
"0020","8008634","PCO Executive",""
"0020","8008638","Neurop",""
"0020","8008647","MS-HEOR",""
"0020","8008648","MS-Med Info",""
"0048","8008658","MSL",""
"0048","8008663","MSL",""
"0048","8008664","MSL",""
"0038","8008684","PV Hub MGR Hub North",""
"0038","8008685","International GPV&E",""
"0038","8008686","PRI-Regional Clini",""
"0038","8008687","PRI-Customs, Clear",""
"0038","8008688","Office Manager WWMG-",""
"0038","8008689","PRI-Distribution a",""
"0038","8008690","PRI-Protocols, Gra",""
"0038","8008691","PRI-Local Comparat",""
"0038","8008692","PRI-Global Regulat",""
"0038","8008694","División Médica",""
"0038","8008695","División Médica",""
"0038","8008696","División Médica",""
"0038","8008697","División Médica",""
"0038","8008698","División Médica",""
"0047","8008701","Direccion Medica",""
"0047","8008706","Direccion Medica",""
"0217","8008710","CLINICAL SUPPLY OPER",""
"0217","8008718","HEOR",""
"0217","8008722","MSM",""
"0020","8008763","WWQC BPPD Support",""
"0020","8008764","BPPD Clinical Manuf",""
"0053","8008768","Dapa Scienti Advisor",""
"0020","8008771","GRS Mature Brands",""
"0020","8008772","GRS-Intercontinental",""
"0083","8008782","R&D-Samples",""
"0089","8008784","R&D MEDICAL AFF DEPT",""
"0020","8008786","Immunotoxicology",""
"0020","8008787","Peptidream",""
"0020","8008788","Genetic Tox NJ",""
"0020","8008792","Corporate Strategy",""
"0020","8008793","Alliance Mgment",""
"0020","8008794","Business Development",""
"0670","8008797","R&D-Medical Affairs",""
"0401","8008798"," Post R&D",""
"0089","8008800"," MSL and MSM",""
"0553","8008809","Zymo-BPPD",""
"0553","8008811","Zymo-Quality Opera",""
"0553","8008812","Zymo-Medical Affairs",""
"0553","8008813","Zymo-MSLs",""
"0553","8008814","Zymo-MSL-Local",""
"0553","8008818","Zymo-Lab Operations",""
"0553","8008821","Zymo-Clinical Develo",""
"0553","8008823","Zymo-Clinical Operat",""
"0553","8008825","Business Development",""
"0553","8008828","Zymo-R&D Severance",""
"0553","8008830","Zymo-Admin Severance",""
"0553","8008831","Zymo Executive",""
"0553","8008833","Zymo Operations",""
"0553","8008834","Zymo-Exec Admin",""
"0553","8008835","Zymo-CMC",""
"0020","8008836","Biocon Informatics",""
"0406","8008842","GRS China",""
"0042","8008843","GRS Australia",""
"0401","8008845","GRS-Korea",""
"0080","8008846","GRS-Singapore",""
"0083","8008847","GRS-Taiwan",""
"0205","8008849","GRS-Colombia",""
"0053","8008850","GRS-Belgium 1",""
"0044","8008852","GRS-Germany",""
"0068","8008853","GRS-Portugal",""
"0034","8008854","GRS-UK",""
"0098","8008855","GRS-Austria",""
"5085","8008868","GULF MSL/MSM/DAS",""
"0670","8008870","R&D-MED AFFAIRS",""
"0020","8008874","ES Business Operatio",""
"0020","8008875","Executive",""
"0020","8008876","CAP FTE's",""
"0020","8008877","RI & A Staff",""
"0020","8008878","Research Information",""
"0020","8008879","NCDI US",""
"0020","8008880","R&D Information-Anal",""
"0020","8008881","Content",""
"0020","8008882","Acquisition",""
"0020","8008883","Development Informat",""
"0020","8008884","GDI Domestic Staff",""
"0020","8008885","GRSI Domestic Staff",""
"0034","8008886","NCDI UK",""
"0061","8008887","GDI EUROPE",""
"0061","8008888","GRSI Staff Europe",""
"0553","8008889","Zymo-IT",""
"0124","8008890","GRS-Czech Republic",""
"0020","8008891","Dapa GMA/MSL (AZ con",""
"0126","8008893","GRS-Hungary",""
"0549","8008894","GRS-Romania",""
"0150","8008895","GRS-Russia",""
"0670","8008897","GRS-Hong Kong",""
"0047","8008899","GRS-Venezuela",""
"0053","8008902","Apixaban Sc Advisor",""
"0038","8008903","Argentina Medical",""
"0047","8008905","MSL/MSM/DAS INMUNOLO",""
"0047","8008906","MSL/MSM/DAS ONCOLOGI",""
"0205","8008915","MSL SA CVMET",""
"0205","8008916","Medical Apoyo",""
"0205","8008924","MSL/MSM/DAS Oncologi",""
"0205","8008925","MSL/MSM/DAS Virologi",""
"0035","8008928","GCR Oncology",""
"0434","8008929","CXCR4",""
"0035","8008930","Med Ed / Comm",""
"0020","8008937","Milestone tax Reclas",""
"0001","8008938","Milestone tax Reclas",""
"0020","8008939","R &D-JPAC HQ",""
"0045","8008940","GRS-Turkey",""
"0047","8008945","MEDICAL PUBLICATION",""
"0020","8008946","Discovery Automation",""
"0020","8008947","HR-PA-SAT-Collaborat",""
"0020","8008948","Legal-Finance-Compli",""
"0020","8008951","Discovery Exec",""
"0590","8008953","Early Candidate Asse",""
"0590","8008954","Research Management",""
"0590","8008955","MS&D (Waltham)",""
"0590","8008956","Selection Technologi",""
"0590","8008957","Protein Science (Wal",""
"0590","8008958","BAD",""
"0590","8008960","Biomolecular Charact",""
"0590","8008961","IT",""
"0590","8008963","Executive Office & O",""
"0020","8008965","Apixaban GMA/MSL (PF",""
"0551","8008966","HR Medarex CA",""
"0217","8008968","GRS-Peru",""
"0205","8008975","RCO Columbia",""
"0048","8008981","GRS-Chile",""
"0406","8008985","Analytical R&D-China",""
"0034","8008987","Business Development",""
"5425","8008988","GRS-Egypt",""
"5425","8008990","EGY Global Medical D",""
"0020","8009000","Cell Supply & Design",""
"0538","8009013","PRI-Global Quality R",""
"0538","8009019","PRI-In Vivo Bio R&D",""
"0052","8009021","DAH EUM",""
"0020","8009023","Productivity",""
"0020","8009024","Rptg & Capabilities",""
"0020","8009026","Thailand alliance R&",""
"0020","8009027","India alliance R&D",""
"0020","8009031","ABD-Stability",""
"0064","8009035","R&D Humacao DP",""
"0526","8009036","SA Apixaban",""
"0205","8009037","Venezuela R&D farma",""
"0020","8009040","Global Med Bus Ops",""
"0020","8009041","MBA Rotation Prgm",""
"0124","8009044","Clinical Site Manage",""
"0038","8009052","Arg/LA Hub GMAP/PV",""
"0020","8009054","Milestone Tax Reclas",""
"0001","8009055","Milestone Tax Reclas",""
"0020","8009056","Milestone Tax Reclas",""
"0001","8009057","Milestone Tax Reclas",""
"0020","8009058","Yervoy Reclass",""
"0550","8009059","Yervoy Reclass",""
"0434","8009067","GQM-Japan",""
"0062","8009069","Site Relations-Eur",""
"0551","8009070","RWC IT",""
"0059","8009071","Dapagliflozin Med",""
"7999","8009073","Amira",""
"0468","8009076","RegulOperLiais Europ",""
"0434","8009077","Elotuzumab Global",""
"0434","8009078","Ipilimumab Global",""
"0054","8009085","IE Clinical Ops",""
"0050","8009088","GRS-S. Africa",""
"0553","8009089","I-O Discovery",""
"0020","8009101","Ambrx",""
"0115","8009102","GRS-Intercon Exec",""
"0401","8009103","GQRC-CT&S-Korea",""
"0550","8009108","Other R&D",""
"0550","8009109","MSL",""
"0231","8009113","R&D-HEOR",""
"0126","8009116","Distr Market MSM",""
"0042","8009121","DAS employees",""
"0550","8009122","Ipilimumab Phase IV",""
"0020","8009123","Immun-Onc Initiative",""
"0526","8009125","Poland Med Reg-Vir",""
"0434","8009131","GDO Outsource Mt Jpn",""
"0020","8009132","Xchem",""
"0020","8009134","Schrodinger",""
"0020","8009136","R&D Allocation WCNJ",""
"0551","8009138","R&D Allocation RWC",""
"0553","8009139","R&D Allocation Zymo",""
"0590","8009140","R&D Alloc Waltham",""
"0020","8009141","M2Gen",""
"0020","8009142","Gladstone",""
"7997","8009145","Inhibitex R&D",""
"0048","8009147","R&D Expenses",""
"7997","8009150","Inhibitex Supplies",""
"0042","8009151","GRS regional",""
"0217","8009156","Global Regulatory Op",""
"0217","8009158","MSL/MSM Colombia",""
"0217","8009159","MSL/MSM Venezuela",""
"0217","8009161","Mature Brands-Peru",""
"0038","8009163","GQRC-Argentina",""
"0020","8009165","Medarex Grants",""
"0038","8009170","PV Hub MGR Hub N & S",""
"0020","8009172","I-O Transla Research",""
"0035","8009173","GQRC-Canada",""
"0150","8009174","Medic Dep Pfizer All",""
"0115","8009176","Medical EUM",""
"0020","8009177","Tsinghua",""
"0020","8009178","Scripps",""
"0020","8009184","China Phase IV R&D",""
"0020","8009191","Hopewell R&D",""
"0020","8009192","New Brunswick R&D",""
"0020","8009193","Lawrenceville R&D",""
"0020","8009194","Wallingford R&D",""
"0020","8009195","Health Ser Field Fac",""
"0556","8009197","R&D Admin Amylin-510",""
"0556","8009198","Statistical Programm",""
"0556","8009205","Global Safety Amylin",""
"0556","8009208","Regulatory Affairs A",""
"0556","8009211","In Vivo Pharmacology",""
"0556","8009212","Research Chemistry A",""
"0556","8009213","Discovery Biology Am",""
"0556","8009214","Bioanalytical Chemis",""
"0556","8009215","Nonclinical Drug Saf",""
"0556","8009216","RComparative Medicin",""
"0556","8009219","R&D Operations Admin",""
"0557","8009221","Tech Ops",""
"0556","8009222","Product DevelopmentA",""
"0556","8009223","API Development Amyl",""
"0556","8009224","Analytical R&D Amyli",""
"0556","8009226","Clinical Supplies Am",""
"0020","8009228","HepC Med Strat",""
"0020","8009229","HepC MSL",""
"0020","8009230","HepC PhaseIV",""
"0550","8009232","ADT-BLY",""
"0434","8009233","GCR Japan Oncology",""
"0401","8009234","GQM Korea",""
"0412","8009237","GRS Israel",""
"0115","8009238","GRS Algeria",""
"0020","8009239","Bavarian Nordic",""
"0020","8009240","Incyte",""
"0550","8009243","Ono PD1 R & D JC",""
"0020","8009246","Amylin-Global Safety",""
"0020","8009247","Amylin-GDMA",""
"0020","8009248","Amylin-PD",""
"0020","8009249","Amylin-GRS",""
"0556","8009256","Amylin R&D other",""
"0020","8009262","Amylin San Diego",""
"0406","8009268","GDO-Clinical Trial",""
"0020","8009275","Health IT",""
"0115","8009276","GCR-France Oncology",""
"0020","8009277","Saudi alliance R&D",""
"7999","8009279","Discovery Biology, F",""
"7997","8009280","GCR-INFECT DIS (Inh)",""
"7997","8009281","Inhibitex (GMS)",""
"0670","8009282","R&D-MED Affairs Chin",""
"0082","8009283","Malta Regulatory",""
"0082","8009293","Distr. Markets MSM",""
"0556","8009300","USP Alliance Share C",""
"0556","8009301","USP Alliance Share M",""
"0556","8009302","USP Alliance Share M",""
"0020","8009305","DM immuno Oncology",""
"0406","8009307","Amylin China GRS",""
"0434","8009308","Orencia Japan-Local",""
"0550","8009315","Onc Med Strat-Anti",""
"0020","8009316","OI-Medical Strategy",""
"0550","8009317","MSL's-Anti-PD1",""
"0020","8009321","Amylin Medical AZ Al",""
"0034","8009322","GCR-Cardiovascular",""
"0089","8009327","MSL and MSM",""
"0231","8009328","MSL and MSM",""
"0020","8009331","StemCentRx, Inc",""
"0044","8009332","RAR LCF Abilify10006",""
"0020","8009333","DIABETES MED STRAT",""
"0020","8009334","DIABETES MEDICAL H.O",""
"0020","8009335","DIABETES FIELD MEDIC",""
"0020","8009336","Diabetes Med Info",""
"0020","8009337","Diabetes CSCOE",""
"0020","8009338","Diabetes Health Serv",""
"0020","8009339","CV MEDICAL H.O. CRED",""
"0020","8009340","CV Med Strat",""
"0020","8009341","CV Med Information",""
"0020","8009342","CV CSCOE",""
"0020","8009343","CV HEALTH SERVICES",""
"0020","8009344","CV FIELD MEDICAL",""
"0556","8009347","AZAmylin R&D Sharing",""
"0035","8009348","Business Operarions",""
"0020","8009349","Global Medical Affai",""
"0556","8009351","GC Alliance Sharing",""
"0020","8009353","Exenatide Med Info/S",""
"0020","8009354","Symlin Med Info/Stra",""
"0545","8009365","ADT-HPK",""
"0545","8009366","PD-HPK",""
"0020","8009383","Egypt Alliance R&D",""
"0205","8009397","HC MEDICAL INFORMAT",""
"5085","8009398","Regulatory R&D",""
"0053","8009399","Byetta SA",""
"0083","8009400","Global Medical",""
